https://www.ptt.cc/bbs/WomenTalk/M.1577091826.A.317.html,,"
大家好
最近看到一個影片
竟然是用客家話在教數學
真的是太狂了!!!!!!!!!
https://reurl.cc/XXr57e


大家怎麼看??


",Mon Dec 23 17:03:44 2019,"
[討論] 有老師在用客家話教數學阿!!!!!!!!!
"
https://www.ptt.cc/bbs/WomenTalk/M.1577091854.A.D9E.html,25,"
4這樣

遇過幾個做直銷推銷的年輕女生

很愛講 被動收入 跟 達成 財富自由

然後感覺他們都非常非常相信自己公司的理念跟產品....

還說 公司某學姊不到35歲就達到 財富自由 辭去空姐工作

現在常常都在國外旅遊，每個月還可領5~10萬被動收入

我是相信可能有這種人拉 或許每1萬會員之中可能會出幾個

為什麼做直銷業務的人這麼沉迷""被動收入""跟""財富自由""???

我還是覺得好好工作當個小資族就好了QQ


",Mon Dec 23 17:04:12 2019,"
[閒聊] 直銷的人很愛說""被動收入""或""財務自由""??
"
https://www.ptt.cc/bbs/WomenTalk/M.1577092048.A.B97.html,55,"
今天在公司拿出棉條準備到廁所換的時候，

被實習的妹妹看到，問我用棉條不會不舒服嗎？

因為他怕放進去會痛，所以都還是用衛生棉



我馬上跟他分享了棉條的優點，還順便教學了使用方法

不過因為我自己用棉條很多年，所以還蠻順手的

實習妹妹回去試好像一直沒辦法成功

好奇大家是新手的時候都用哪一牌的呢？

想說可以參考推薦他


",Mon Dec 23 17:07:26 2019,"
[閒聊] 棉條新手推薦哪一牌
"
https://www.ptt.cc/bbs/WomenTalk/M.1577092603.A.463.html,,"
接觸斷捨離之後

看很多商品都覺得只是佔位的廢物

包含聖誕跳蚤市場還有啥射飛標獎品

何況家裡還有堆積如山的各種佔位無用物

清很慢是因為捨不得錢而且需要家人同意


目前已經變成拿到很多贈品都要放待出清區了

那為什麼很多人還樂此不疲的製造佔位物品呢？


",Mon Dec 23 17:16:41 2019,"
[問題] 有人收到聖誕交換禮物會苦惱的？
"
https://www.ptt.cc/bbs/WomenTalk/M.1577092702.A.8AD.html,2,"
安安 快要跨年了
已經過了跟著人群去演唱會或酒吧的年紀了
前年是跟男友和朋友去老四川
在吃飯中默默度過有點無感
去年男友看著螢幕中的哈妮癡呆中度過0.0

今年男友提議要去看葉問
也是無感中度過XD
大家安排好要幹嘛了嗎～～




",Mon Dec 23 17:18:20 2019,"
[閒聊] 跨年要幹嘛
"
https://www.ptt.cc/bbs/WomenTalk/M.1577092831.A.A32.html,5,"

學長說聖誕節去他家慶祝

可是他找了教授一起

這樣就很拘束不是嗎

要怎樣才能讓他知道

我不想跟教授過聖誕節


",Mon Dec 23 17:20:26 2019,"
[問題] 學長很白目
"
https://www.ptt.cc/bbs/WomenTalk/M.1577093133.A.A69.html,5,"
聽起來有點小邊緣，但我覺得是意外有趣的事。
大概幾年前開始，我每年都會寫一封信給自己。

內容倒也沒多勵志，就是寫一些那年我認為很重要，值得我記下來的事，然後談談下一年的目標，還有今年遇到了什麼困擾和傷心事。

到了明年差不多也忘了前一年寫什麼，打開來就會有種「原來有這種事啊」的感覺，太傷心的事回過頭看到，會很確實的感到好像沒什麼了。我覺得滿有趣的，不知道有沒有人也信給自己過XD？



",Mon Dec 23 17:25:31 2019,"
[閒聊] 寫信給自己
"
https://www.ptt.cc/bbs/WomenTalk/M.1577093425.A.19D.html,13,"

是這樣的～因為我個人有在做技術類的服務～朋友也表明想學，我也有在教，但真的不知
道該怎麼跟朋友報價，大家會因為對方是朋友就算她超便宜嗎？好困擾喔！


",Mon Dec 23 17:30:23 2019,"
[問題] 朋友要學技術怎麼收費？
"
https://www.ptt.cc/bbs/WomenTalk/M.1577093636.A.B02.html,61,"
很久沒參加這種活動
這次參加的對象有一半是女生
我考慮了半天
大概有幾種選擇

1. Line 150台幣點數
2. 雪肌粹洗面乳 189
3. 精緻小餅乾+ 30-60元line點數
4. 阿默蛋糕 小盒馬卡龍

不知道大家覺得收到什麼感覺比較好？


",Mon Dec 23 17:33:54 2019,"
[問題] 150元交換禮物 大家幫幫選
"
https://www.ptt.cc/bbs/WomenTalk/M.1577094885.A.E5D.html,,"
原本想去買牛仔褲跟球鞋
結果一忙沒時間
默默週年慶就結束了QQ
不過沒買好像也沒怎樣
穿舊的
只好安慰自己錢省下來了
而且下個月要交保費噴錢了


",Mon Dec 23 17:54:43 2019,"
[閒聊] 今年周年慶甚麼都沒買
"
